,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
4/15/2016,2083.1,2083.22,2076.31,2080.73,-0.10%,0.0011%,0.0001%,0.0006%,0.02%,0.01%,-0.33%,-0.11%,0.00%,,,,,,,,
4/18/2016,2078.83,2094.66,2073.65,2094.34,0.65%,0.0102%,0.0055%,0.0072%,-0.09%,0.76%,-0.25%,0.74%,0.00%,,,,,,,,
4/19/2016,2096.05,2104.05,2091.68,2100.8,0.31%,0.0035%,0.0005%,0.0019%,0.08%,0.38%,-0.21%,0.23%,0.00%,,,,,,,,
4/20/2016,2101.52,2111.05,2096.32,2102.4,0.08%,0.0049%,0.0000%,0.0025%,0.03%,0.45%,-0.25%,0.04%,0.00%,,,,,,,,
4/21/2016,2102.09,2103.78,2088.52,2091.48,-0.52%,0.0053%,0.0026%,0.0036%,-0.01%,0.08%,-0.65%,-0.51%,0.00%,,,,,,,,
4/22/2016,2091.49,2094.32,2081.2,2091.58,0.00%,0.0039%,0.0000%,0.0020%,0.00%,0.14%,-0.49%,0.00%,0.00%,,,,,,,,
4/25/2016,2089.37,2089.37,2077.52,2087.79,-0.18%,0.0032%,0.0001%,0.0016%,-0.11%,0.00%,-0.57%,-0.08%,0.00%,,,,,,,,
4/26/2016,2089.84,2096.87,2085.8,2091.7,0.19%,0.0028%,0.0001%,0.0014%,0.10%,0.34%,-0.19%,0.09%,0.00%,,,,,,,,
4/27/2016,2092.33,2099.89,2082.31,2095.15,0.16%,0.0071%,0.0002%,0.0036%,0.03%,0.36%,-0.48%,0.13%,0.00%,,,,,,,,
4/28/2016,2090.93,2099.3,2071.62,2075.81,-0.92%,0.0176%,0.0053%,0.0108%,-0.20%,0.40%,-0.93%,-0.73%,0.01%,,,,,,,,
4/29/2016,2071.82,2073.85,2052.28,2065.3,-0.51%,0.0109%,0.0010%,0.0058%,-0.19%,0.10%,-0.95%,-0.32%,0.01%,,,,,,,,
5/2/2016,2067.17,2083.42,2066.11,2081.43,0.78%,0.0070%,0.0047%,0.0053%,0.09%,0.78%,-0.05%,0.69%,0.00%,,,,,,,,
5/3/2016,2077.18,2077.18,2054.89,2063.37,-0.87%,0.0116%,0.0044%,0.0075%,-0.20%,0.00%,-1.08%,-0.67%,0.00%,,,,,,,,
5/4/2016,2060.3,2060.3,2045.55,2051.12,-0.59%,0.0052%,0.0020%,0.0034%,-0.15%,0.00%,-0.72%,-0.45%,0.00%,,,,,,,,
5/5/2016,2052.95,2060.23,2045.77,2050.63,-0.02%,0.0050%,0.0001%,0.0025%,0.09%,0.35%,-0.35%,-0.11%,0.00%,,,,,,,,
5/6/2016,2047.77,2057.72,2039.45,2057.14,0.32%,0.0080%,0.0021%,0.0048%,-0.14%,0.48%,-0.41%,0.46%,0.00%,,,,,,,,
5/9/2016,2057.55,2064.15,2054.31,2058.69,0.08%,0.0023%,0.0000%,0.0012%,0.02%,0.32%,-0.16%,0.06%,0.00%,,,,,,,,
5/10/2016,2062.63,2084.87,2062.63,2084.39,1.25%,0.0115%,0.0110%,0.0100%,0.19%,1.07%,0.00%,1.05%,0.00%,,,,,,,,
5/11/2016,2083.29,2083.29,2064.46,2064.46,-0.96%,0.0082%,0.0082%,0.0073%,-0.05%,0.00%,-0.91%,-0.91%,0.00%,,,,,,,,
5/12/2016,2067.17,2073.99,2053.13,2064.11,-0.02%,0.0102%,0.0002%,0.0052%,0.13%,0.33%,-0.68%,-0.15%,0.01%,,,,,,,,
5/13/2016,2062.5,2066.79,2043.13,2046.61,-0.85%,0.0133%,0.0060%,0.0089%,-0.08%,0.21%,-0.94%,-0.77%,0.00%,,,,,,,,
5/16/2016,2046.53,2071.88,2046.53,2066.66,0.98%,0.0152%,0.0096%,0.0113%,0.00%,1.23%,0.00%,0.98%,0.00%,,,,,,,,
5/17/2016,2065.04,2065.69,2040.82,2047.21,-0.94%,0.0147%,0.0075%,0.0102%,-0.08%,0.03%,-1.18%,-0.87%,0.00%,,,,,,,,
5/18/2016,2044.38,2060.61,2034.49,2047.63,0.02%,0.0163%,0.0003%,0.0082%,-0.14%,0.79%,-0.48%,0.16%,0.01%,,,,,,,,
5/19/2016,2044.21,2044.21,2025.91,2040.04,-0.37%,0.0081%,0.0004%,0.0042%,-0.17%,0.00%,-0.90%,-0.20%,0.01%,,,,,,,,
5/20/2016,2041.88,2058.35,2041.88,2052.32,0.60%,0.0065%,0.0026%,0.0042%,0.09%,0.80%,0.00%,0.51%,0.00%,,,,,,,,
5/23/2016,2052.23,2055.58,2047.26,2048.04,-0.21%,0.0016%,0.0004%,0.0010%,0.00%,0.16%,-0.24%,-0.20%,0.00%,,,,,,,,
5/24/2016,2052.65,2079.67,2052.65,2076.06,1.37%,0.0171%,0.0129%,0.0135%,0.22%,1.31%,0.00%,1.13%,0.00%,,,,,,,,
5/25/2016,2078.93,2094.73,2078.93,2090.54,0.70%,0.0057%,0.0031%,0.0041%,0.14%,0.76%,0.00%,0.56%,0.00%,,,,,,,,
5/26/2016,2091.44,2094.3,2087.08,2090.1,-0.02%,0.0012%,0.0000%,0.0006%,0.04%,0.14%,-0.21%,-0.06%,0.00%,,,,,,,,
5/27/2016,2090.06,2099.06,2090.06,2099.06,0.43%,0.0018%,0.0018%,0.0016%,0.00%,0.43%,0.00%,0.43%,0.00%,,,,,,,,
5/31/2016,2100.13,2103.48,2088.66,2096.96,-0.10%,0.0050%,0.0002%,0.0026%,0.05%,0.16%,-0.55%,-0.15%,0.00%,,,,,,,,
6/1/2016,2093.94,2100.97,2085.1,2099.33,0.11%,0.0057%,0.0007%,0.0031%,-0.14%,0.34%,-0.42%,0.26%,0.00%,,,,,,,,
6/2/2016,2097.71,2105.26,2088.59,2105.26,0.28%,0.0063%,0.0013%,0.0037%,-0.08%,0.36%,-0.44%,0.36%,0.00%,,,,,,,,
6/3/2016,2104.07,2104.07,2085.36,2099.13,-0.29%,0.0080%,0.0006%,0.0042%,-0.06%,0.00%,-0.89%,-0.24%,0.01%,,,,,,,,
6/6/2016,2100.83,2113.36,2100.83,2109.41,0.49%,0.0035%,0.0017%,0.0024%,0.08%,0.59%,0.00%,0.41%,0.00%,,,,,,,,
6/7/2016,2110.18,2119.22,2110.18,2112.13,0.13%,0.0018%,0.0001%,0.0009%,0.04%,0.43%,0.00%,0.09%,0.00%,,,,,,,,
6/8/2016,2112.71,2120.55,2112.71,2119.12,0.33%,0.0014%,0.0009%,0.0010%,0.03%,0.37%,0.00%,0.30%,0.00%,,,,,,,,
6/9/2016,2115.65,2117.64,2107.73,2115.48,-0.17%,0.0022%,0.0000%,0.0011%,-0.16%,0.09%,-0.38%,-0.01%,0.00%,,,,,,,,
6/10/2016,2109.57,2109.57,2089.96,2096.07,-0.92%,0.0087%,0.0041%,0.0060%,-0.28%,0.00%,-0.93%,-0.64%,0.00%,,,,,,,,
6/13/2016,2091.75,2098.12,2078.46,2079.06,-0.81%,0.0089%,0.0037%,0.0059%,-0.21%,0.30%,-0.64%,-0.61%,0.00%,,,,,,,,
6/14/2016,2076.65,2081.3,2064.1,2075.32,-0.18%,0.0069%,0.0000%,0.0035%,-0.12%,0.22%,-0.61%,-0.06%,0.00%,,,,,,,,
6/15/2016,2077.6,2085.65,2069.8,2071.5,-0.18%,0.0058%,0.0009%,0.0032%,0.11%,0.39%,-0.38%,-0.29%,0.00%,,,,,,,,
6/16/2016,2066.36,2079.62,2050.37,2077.99,0.31%,0.0201%,0.0031%,0.0112%,-0.25%,0.64%,-0.78%,0.56%,0.01%,,,,,,,,
6/17/2016,2078.2,2078.2,2062.84,2071.22,-0.33%,0.0055%,0.0011%,0.0032%,0.01%,0.00%,-0.74%,-0.34%,0.00%,,,,,,,,
6/20/2016,2075.58,2100.66,2075.58,2083.25,0.58%,0.0144%,0.0014%,0.0077%,0.21%,1.20%,0.00%,0.37%,0.01%,,,,,,,,
6/21/2016,2085.19,2093.66,2083.02,2088.9,0.27%,0.0026%,0.0003%,0.0014%,0.09%,0.41%,-0.10%,0.18%,0.00%,,,,,,,,
6/22/2016,2089.75,2099.71,2084.36,2085.45,-0.17%,0.0054%,0.0004%,0.0029%,0.04%,0.48%,-0.26%,-0.21%,0.00%,,,,,,,,
6/23/2016,2092.8,2113.32,2092.8,2113.32,1.34%,0.0095%,0.0095%,0.0084%,0.35%,0.98%,0.00%,0.98%,0.00%,,,,,,,,
6/24/2016,2103.81,2103.81,2032.57,2037.41,-3.59%,0.1187%,0.1029%,0.0991%,-0.45%,0.00%,-3.44%,-3.21%,0.01%,,,,,,,,
6/27/2016,2031.45,2031.45,1991.68,2000.54,-1.81%,0.0391%,0.0235%,0.0286%,-0.29%,0.00%,-1.98%,-1.53%,0.01%,,,,,,,,
6/28/2016,2006.67,2036.09,2006.67,2036.09,1.78%,0.0212%,0.0212%,0.0188%,0.31%,1.46%,0.00%,1.46%,0.00%,,,,,,,,
6/29/2016,2042.69,2073.13,2042.69,2070.77,1.70%,0.0219%,0.0186%,0.0181%,0.32%,1.48%,0.00%,1.37%,0.00%,,,,,,,,
6/30/2016,2073.17,2098.94,2070,2098.86,1.36%,0.0193%,0.0152%,0.0155%,0.12%,1.24%,-0.15%,1.23%,0.00%,,,,,,,,
7/1/2016,2099.34,2108.71,2097.9,2102.95,0.19%,0.0026%,0.0003%,0.0014%,0.02%,0.45%,-0.07%,0.17%,0.00%,,,,,,,,
7/5/2016,2095.05,2095.05,2080.86,2088.55,-0.68%,0.0046%,0.0010%,0.0027%,-0.38%,0.00%,-0.68%,-0.31%,0.00%,,,,,,,,
7/6/2016,2084.43,2100.72,2074.02,2099.73,0.54%,0.0164%,0.0053%,0.0102%,-0.20%,0.78%,-0.50%,0.73%,0.01%,,,,,,,,
7/7/2016,2100.42,2109.08,2089.39,2097.9,-0.09%,0.0088%,0.0001%,0.0045%,0.03%,0.41%,-0.53%,-0.12%,0.00%,,,,,,,,
7/8/2016,2106.97,2131.71,2106.97,2129.9,1.53%,0.0136%,0.0117%,0.0113%,0.43%,1.17%,0.00%,1.08%,0.00%,,,,,,,,
7/11/2016,2131.72,2143.16,2131.72,2137.16,0.34%,0.0029%,0.0006%,0.0017%,0.09%,0.54%,0.00%,0.25%,0.00%,,,,,,,,
7/12/2016,2139.5,2155.4,2139.5,2152.14,0.70%,0.0055%,0.0035%,0.0041%,0.11%,0.74%,0.00%,0.59%,0.00%,,,,,,,,
7/13/2016,2153.81,2156.45,2146.21,2152.43,0.01%,0.0023%,0.0000%,0.0011%,0.08%,0.12%,-0.35%,-0.06%,0.00%,,,,,,,,
7/14/2016,2157.88,2168.99,2157.88,2163.75,0.53%,0.0026%,0.0007%,0.0016%,0.25%,0.51%,0.00%,0.27%,0.00%,,,,,,,,
7/15/2016,2165.13,2169.05,2155.79,2161.74,-0.09%,0.0038%,0.0002%,0.0020%,0.06%,0.18%,-0.43%,-0.16%,0.00%,,,,,,,,
7/18/2016,2162.04,2168.35,2159.63,2166.89,0.24%,0.0016%,0.0005%,0.0010%,0.01%,0.29%,-0.11%,0.22%,0.00%,,,,,,,,
7/19/2016,2163.79,2164.63,2159.01,2163.78,-0.14%,0.0007%,0.0000%,0.0003%,-0.14%,0.04%,-0.22%,0.00%,0.00%,,,,,,,,
7/20/2016,2166.1,2175.63,2164.89,2173.02,0.43%,0.0024%,0.0010%,0.0016%,0.11%,0.44%,-0.06%,0.32%,0.00%,,,,,,,,
7/21/2016,2172.91,2174.56,2159.75,2165.17,-0.36%,0.0047%,0.0013%,0.0028%,-0.01%,0.08%,-0.61%,-0.36%,0.00%,,,,,,,,
7/22/2016,2166.47,2175.11,2163.24,2175.03,0.46%,0.0030%,0.0016%,0.0021%,0.06%,0.40%,-0.15%,0.39%,0.00%,,,,,,,,
7/25/2016,2173.71,2173.71,2161.95,2168.48,-0.30%,0.0029%,0.0006%,0.0017%,-0.06%,0.00%,-0.54%,-0.24%,0.00%,,,,,,,,
7/26/2016,2168.97,2173.54,2160.18,2169.18,0.03%,0.0038%,0.0000%,0.0019%,0.02%,0.21%,-0.41%,0.01%,0.00%,,,,,,,,
7/27/2016,2169.81,2174.98,2159.07,2166.58,-0.12%,0.0054%,0.0002%,0.0028%,0.03%,0.24%,-0.50%,-0.15%,0.00%,,,,,,,,
7/28/2016,2166.05,2172.85,2159.74,2170.06,0.16%,0.0037%,0.0003%,0.0020%,-0.02%,0.31%,-0.29%,0.18%,0.00%,,,,,,,,
7/29/2016,2168.83,2177.09,2163.49,2173.6,0.16%,0.0039%,0.0005%,0.0021%,-0.06%,0.38%,-0.25%,0.22%,0.00%,,,,,,,,
8/1/2016,2173.15,2178.29,2166.21,2170.84,-0.13%,0.0031%,0.0001%,0.0016%,-0.02%,0.24%,-0.32%,-0.11%,0.00%,,,,,,,,
8/2/2016,2169.94,2170.2,2147.58,2157.03,-0.64%,0.0110%,0.0036%,0.0069%,-0.04%,0.01%,-1.04%,-0.60%,0.00%,,,,,,,,
8/3/2016,2156.81,2163.79,2152.56,2163.79,0.31%,0.0027%,0.0010%,0.0018%,-0.01%,0.32%,-0.20%,0.32%,0.00%,,,,,,,,
8/4/2016,2163.51,2168.19,2159.07,2164.25,0.02%,0.0018%,0.0000%,0.0009%,-0.01%,0.22%,-0.21%,0.03%,0.00%,,,,,,,,
8/5/2016,2168.79,2182.87,2168.79,2182.87,0.86%,0.0042%,0.0042%,0.0037%,0.21%,0.65%,0.00%,0.65%,0.00%,,,,,,,,
8/8/2016,2183.76,2185.44,2177.85,2180.89,-0.09%,0.0012%,0.0002%,0.0007%,0.04%,0.08%,-0.27%,-0.13%,0.00%,,,,,,,,
8/9/2016,2182.24,2187.66,2178.61,2181.74,0.04%,0.0017%,0.0000%,0.0009%,0.06%,0.25%,-0.17%,-0.02%,0.00%,,,,,,,,
8/10/2016,2182.81,2183.41,2172,2175.49,-0.29%,0.0027%,0.0011%,0.0018%,0.05%,0.03%,-0.50%,-0.34%,0.00%,,,,,,,,
8/11/2016,2177.97,2188.45,2177.97,2185.79,0.47%,0.0023%,0.0013%,0.0016%,0.11%,0.48%,0.00%,0.36%,0.00%,,,,,,,,
8/12/2016,2183.74,2186.28,2179.42,2184.05,-0.08%,0.0010%,0.0000%,0.0005%,-0.09%,0.12%,-0.20%,0.01%,0.00%,,,,,,,,
8/15/2016,2186.08,2193.81,2186.08,2190.15,0.28%,0.0012%,0.0003%,0.0008%,0.09%,0.35%,0.00%,0.19%,0.00%,,,,,,,,
8/16/2016,2186.24,2186.24,2178.14,2178.15,-0.55%,0.0014%,0.0014%,0.0012%,-0.18%,0.00%,-0.37%,-0.37%,0.00%,,,,,,,,
8/17/2016,2177.84,2183.08,2168.5,2182.22,0.19%,0.0045%,0.0004%,0.0024%,-0.01%,0.24%,-0.43%,0.20%,0.00%,,,,,,,,
8/18/2016,2181.9,2187.03,2180.46,2187.02,0.22%,0.0009%,0.0005%,0.0007%,-0.01%,0.23%,-0.07%,0.23%,0.00%,,,,,,,,
8/19/2016,2184.24,2185,2175.13,2183.87,-0.14%,0.0020%,0.0000%,0.0010%,-0.13%,0.03%,-0.42%,-0.02%,0.00%,,,,,,,,
8/22/2016,2181.58,2185.15,2175.96,2182.64,-0.06%,0.0018%,0.0000%,0.0009%,-0.10%,0.16%,-0.26%,0.05%,0.00%,,,,,,,,
8/23/2016,2187.81,2193.42,2186.8,2186.9,0.20%,0.0009%,0.0000%,0.0005%,0.24%,0.26%,-0.05%,-0.04%,0.00%,,,,,,,,
8/24/2016,2185.09,2186.66,2171.25,2175.44,-0.52%,0.0050%,0.0020%,0.0033%,-0.08%,0.07%,-0.64%,-0.44%,0.00%,,,,,,,,
8/25/2016,2173.29,2179,2169.74,2172.47,-0.14%,0.0018%,0.0000%,0.0009%,-0.10%,0.26%,-0.16%,-0.04%,0.00%,,,,,,,,
8/26/2016,2175.1,2187.94,2160.39,2169.04,-0.16%,0.0161%,0.0008%,0.0083%,0.12%,0.59%,-0.68%,-0.28%,0.01%,,,,,,,,
8/29/2016,2170.19,2183.48,2170.19,2180.38,0.52%,0.0037%,0.0022%,0.0027%,0.05%,0.61%,0.00%,0.47%,0.00%,,,,,,,,
8/30/2016,2179.45,2182.27,2170.41,2176.12,-0.20%,0.0030%,0.0002%,0.0016%,-0.04%,0.13%,-0.42%,-0.15%,0.00%,,,,,,,,
8/31/2016,2173.56,2173.79,2161.35,2170.95,-0.24%,0.0033%,0.0001%,0.0017%,-0.12%,0.01%,-0.56%,-0.12%,0.00%,,,,,,,,
9/1/2016,2171.33,2173.56,2157.09,2170.86,0.00%,0.0058%,0.0000%,0.0029%,0.02%,0.10%,-0.66%,-0.02%,0.00%,,,,,,,,
9/2/2016,2177.49,2184.87,2173.59,2179.98,0.42%,0.0027%,0.0001%,0.0014%,0.30%,0.34%,-0.18%,0.11%,0.00%,,,,,,,,
9/6/2016,2181.61,2186.57,2175.1,2186.48,0.30%,0.0028%,0.0005%,0.0016%,0.07%,0.23%,-0.30%,0.22%,0.00%,,,,,,,,
9/7/2016,2185.17,2187.87,2179.07,2186.16,-0.01%,0.0016%,0.0000%,0.0008%,-0.06%,0.12%,-0.28%,0.05%,0.00%,,,,,,,,
9/8/2016,2182.76,2184.94,2177.49,2181.3,-0.22%,0.0012%,0.0000%,0.0006%,-0.16%,0.10%,-0.24%,-0.07%,0.00%,,,,,,,,
9/9/2016,2169.08,2169.08,2127.81,2127.81,-2.45%,0.0369%,0.0369%,0.0327%,-0.56%,0.00%,-1.92%,-1.92%,0.00%,,,,,,,,
9/12/2016,2120.86,2163.3,2119.12,2159.04,1.47%,0.0426%,0.0318%,0.0336%,-0.33%,1.98%,-0.08%,1.78%,0.01%,,,,,,,,
9/13/2016,2150.47,2150.47,2120.27,2127.02,-1.48%,0.0200%,0.0120%,0.0146%,-0.40%,0.00%,-1.41%,-1.10%,0.00%,,,,,,,,
9/14/2016,2127.86,2141.33,2119.9,2125.77,-0.06%,0.0101%,0.0001%,0.0051%,0.04%,0.63%,-0.37%,-0.10%,0.01%,,,,,,,,
9/15/2016,2125.36,2151.31,2122.36,2147.26,1.01%,0.0184%,0.0105%,0.0132%,-0.02%,1.21%,-0.14%,1.03%,0.00%,,,,,,,,
9/16/2016,2146.48,2146.48,2131.2,2139.16,-0.38%,0.0051%,0.0012%,0.0030%,-0.04%,0.00%,-0.71%,-0.34%,0.00%,,,,,,,,
9/19/2016,2143.99,2153.61,2135.91,2139.12,0.00%,0.0068%,0.0005%,0.0036%,0.23%,0.45%,-0.38%,-0.23%,0.00%,,,,,,,,
9/20/2016,2145.94,2150.8,2139.17,2139.76,0.03%,0.0029%,0.0008%,0.0018%,0.32%,0.23%,-0.32%,-0.29%,0.00%,,,,,,,,
9/21/2016,2144.58,2165.11,2139.57,2163.12,1.09%,0.0141%,0.0074%,0.0099%,0.23%,0.95%,-0.23%,0.86%,0.00%,,,,,,,,
9/22/2016,2170.94,2179.99,2170.94,2177.18,0.65%,0.0017%,0.0008%,0.0012%,0.36%,0.42%,0.00%,0.29%,0.00%,,,,,,,,
9/23/2016,2173.29,2173.75,2163.97,2164.69,-0.57%,0.0020%,0.0016%,0.0016%,-0.18%,0.02%,-0.43%,-0.40%,0.00%,,,,,,,,
9/26/2016,2158.54,2158.54,2145.04,2146.1,-0.86%,0.0039%,0.0033%,0.0033%,-0.28%,0.00%,-0.63%,-0.58%,0.00%,,,,,,,,
9/27/2016,2146.04,2161.13,2141.55,2159.93,0.64%,0.0083%,0.0042%,0.0057%,0.00%,0.70%,-0.21%,0.65%,0.00%,,,,,,,,
9/28/2016,2161.85,2172.4,2151.79,2171.37,0.53%,0.0091%,0.0019%,0.0053%,0.09%,0.49%,-0.47%,0.44%,0.00%,,,,,,,,
9/29/2016,2168.9,2172.67,2145.2,2151.13,-0.93%,0.0162%,0.0068%,0.0107%,-0.11%,0.17%,-1.10%,-0.82%,0.00%,,,,,,,,
9/30/2016,2156.51,2175.3,2156.51,2168.27,0.80%,0.0075%,0.0030%,0.0049%,0.25%,0.87%,0.00%,0.54%,0.00%,,,,,,,,
10/3/2016,2164.33,2164.41,2154.77,2161.2,-0.33%,0.0020%,0.0002%,0.0011%,-0.18%,0.00%,-0.44%,-0.14%,0.00%,,,,,,,,
10/4/2016,2163.37,2165.46,2144.01,2150.49,-0.50%,0.0099%,0.0036%,0.0063%,0.10%,0.10%,-0.90%,-0.60%,0.00%,,,,,,,,
10/5/2016,2155.15,2163.95,2155.15,2159.73,0.43%,0.0017%,0.0005%,0.0010%,0.22%,0.41%,0.00%,0.21%,0.00%,,,,,,,,
10/6/2016,2158.22,2162.93,2150.28,2160.77,0.05%,0.0034%,0.0001%,0.0018%,-0.07%,0.22%,-0.37%,0.12%,0.00%,,,,,,,,
10/7/2016,2164.19,2165.86,2144.85,2153.74,-0.33%,0.0095%,0.0023%,0.0057%,0.16%,0.08%,-0.90%,-0.48%,0.00%,,,,,,,,
10/10/2016,2160.39,2169.6,2160.39,2163.66,0.46%,0.0018%,0.0002%,0.0010%,0.31%,0.43%,0.00%,0.15%,0.00%,,,,,,,,
10/11/2016,2161.35,2161.56,2128.84,2136.73,-1.24%,0.0233%,0.0131%,0.0167%,-0.11%,0.01%,-1.52%,-1.15%,0.01%,,,,,,,,
10/12/2016,2137.67,2145.36,2132.77,2139.18,0.11%,0.0035%,0.0000%,0.0018%,0.04%,0.36%,-0.23%,0.07%,0.00%,,,,,,,,
10/13/2016,2130.26,2138.19,2114.72,2132.55,-0.31%,0.0122%,0.0001%,0.0061%,-0.42%,0.37%,-0.73%,0.11%,0.01%,,,,,,,,
10/14/2016,2139.68,2149.19,2132.98,2132.98,0.02%,0.0057%,0.0010%,0.0032%,0.33%,0.44%,-0.31%,-0.31%,0.00%,,,,,,,,
10/17/2016,2132.95,2135.61,2124.43,2126.5,-0.30%,0.0028%,0.0009%,0.0017%,0.00%,0.12%,-0.40%,-0.30%,0.00%,,,,,,,,
10/18/2016,2138.31,2144.38,2135.49,2139.6,0.62%,0.0017%,0.0000%,0.0009%,0.55%,0.28%,-0.13%,0.06%,0.00%,,,,,,,,
10/19/2016,2140.81,2148.44,2138.15,2144.29,0.22%,0.0023%,0.0003%,0.0013%,0.06%,0.36%,-0.12%,0.16%,0.00%,,,,,,,,
10/20/2016,2142.51,2147.18,2133.44,2141.34,-0.14%,0.0041%,0.0000%,0.0021%,-0.08%,0.22%,-0.42%,-0.05%,0.00%,,,,,,,,
10/21/2016,2139.43,2142.63,2130.09,2141.16,-0.01%,0.0034%,0.0001%,0.0017%,-0.09%,0.15%,-0.44%,0.08%,0.00%,,,,,,,,
10/24/2016,2148.5,2154.79,2146.91,2151.33,0.47%,0.0013%,0.0002%,0.0007%,0.34%,0.29%,-0.07%,0.13%,0.00%,,,,,,,,
10/25/2016,2149.72,2151.44,2141.93,2143.16,-0.38%,0.0020%,0.0009%,0.0013%,-0.07%,0.08%,-0.36%,-0.31%,0.00%,,,,,,,,
10/26/2016,2136.97,2145.73,2131.59,2139.43,-0.17%,0.0044%,0.0001%,0.0022%,-0.29%,0.41%,-0.25%,0.12%,0.00%,,,,,,,,
10/27/2016,2144.06,2147.13,2132.52,2133.04,-0.30%,0.0047%,0.0027%,0.0034%,0.22%,0.14%,-0.54%,-0.52%,0.00%,,,,,,,,
10/28/2016,2132.23,2140.72,2119.36,2126.41,-0.31%,0.0101%,0.0007%,0.0053%,-0.04%,0.40%,-0.61%,-0.27%,0.00%,,,,,,,,
10/31/2016,2129.78,2133.25,2125.53,2126.15,-0.01%,0.0013%,0.0003%,0.0008%,0.16%,0.16%,-0.20%,-0.17%,0.00%,,,,,,,,
11/1/2016,2128.68,2131.45,2097.85,2111.72,-0.68%,0.0252%,0.0064%,0.0151%,0.12%,0.13%,-1.46%,-0.80%,0.01%,,,,,,,,
11/2/2016,2109.43,2111.76,2094,2097.94,-0.65%,0.0071%,0.0030%,0.0047%,-0.11%,0.11%,-0.73%,-0.55%,0.00%,,,,,,,,
11/3/2016,2098.8,2102.56,2085.23,2088.66,-0.44%,0.0069%,0.0023%,0.0043%,0.04%,0.18%,-0.65%,-0.48%,0.00%,,,,,,,,
11/4/2016,2083.79,2099.07,2083.79,2085.18,-0.17%,0.0053%,0.0000%,0.0027%,-0.23%,0.73%,0.00%,0.07%,0.00%,,,,,,,,
11/7/2016,2100.59,2132,2100.59,2131.52,2.22%,0.0220%,0.0214%,0.0193%,0.74%,1.48%,0.00%,1.46%,0.00%,,,,,,,,
11/8/2016,2129.92,2146.87,2123.56,2139.56,0.38%,0.0119%,0.0020%,0.0067%,-0.08%,0.79%,-0.30%,0.45%,0.00%,,,,,,,,
11/9/2016,2131.56,2170.1,2125.35,2163.26,1.11%,0.0434%,0.0218%,0.0301%,-0.37%,1.79%,-0.29%,1.48%,0.01%,,,,,,,,
11/10/2016,2167.49,2182.3,2151.17,2167.48,0.20%,0.0206%,0.0000%,0.0103%,0.20%,0.68%,-0.76%,0.00%,0.01%,,,,,,,,
11/11/2016,2162.71,2165.92,2152.49,2164.45,-0.14%,0.0039%,0.0001%,0.0020%,-0.22%,0.15%,-0.47%,0.08%,0.00%,,,,,,,,
11/14/2016,2165.64,2171.36,2156.08,2164.2,-0.01%,0.0050%,0.0000%,0.0025%,0.05%,0.26%,-0.44%,-0.07%,0.00%,,,,,,,,
11/15/2016,2168.29,2180.84,2166.38,2180.39,0.75%,0.0044%,0.0031%,0.0034%,0.19%,0.58%,-0.09%,0.56%,0.00%,,,,,,,,
11/16/2016,2177.53,2179.22,2172.2,2176.94,-0.16%,0.0010%,0.0000%,0.0005%,-0.13%,0.08%,-0.25%,-0.03%,0.00%,,,,,,,,
11/17/2016,2178.61,2188.06,2176.65,2187.12,0.47%,0.0027%,0.0015%,0.0020%,0.08%,0.43%,-0.09%,0.39%,0.00%,,,,,,,,
11/18/2016,2186.85,2189.89,2180.38,2181.9,-0.24%,0.0019%,0.0005%,0.0011%,-0.01%,0.14%,-0.30%,-0.23%,0.00%,,,,,,,,
11/21/2016,2186.43,2198.7,2186.43,2198.18,0.75%,0.0031%,0.0029%,0.0027%,0.21%,0.56%,0.00%,0.54%,0.00%,,,,,,,,
11/22/2016,2201.56,2204.8,2194.51,2202.94,0.22%,0.0022%,0.0000%,0.0011%,0.15%,0.15%,-0.32%,0.06%,0.00%,,,,,,,,
11/23/2016,2198.55,2204.72,2194.51,2204.72,0.08%,0.0022%,0.0008%,0.0014%,-0.20%,0.28%,-0.18%,0.28%,0.00%,,,,,,,,
11/25/2016,2206.27,2213.35,2206.27,2213.35,0.39%,0.0010%,0.0010%,0.0009%,0.07%,0.32%,0.00%,0.32%,0.00%,,,,,,,,
11/28/2016,2210.21,2211.14,2200.36,2201.72,-0.53%,0.0024%,0.0015%,0.0018%,-0.14%,0.04%,-0.45%,-0.38%,0.00%,,,,,,,,
11/29/2016,2200.76,2210.46,2198.15,2204.66,0.13%,0.0031%,0.0003%,0.0017%,-0.04%,0.44%,-0.12%,0.18%,0.00%,,,,,,,,
11/30/2016,2204.97,2214.1,2198.81,2198.81,-0.27%,0.0048%,0.0008%,0.0027%,0.01%,0.41%,-0.28%,-0.28%,0.00%,,,,,,,,
12/1/2016,2200.17,2202.6,2187.44,2191.08,-0.35%,0.0048%,0.0017%,0.0030%,0.06%,0.11%,-0.58%,-0.41%,0.00%,,,,,,,,
12/2/2016,2191.12,2197.95,2188.37,2191.95,0.04%,0.0019%,0.0000%,0.0010%,0.00%,0.31%,-0.13%,0.04%,0.00%,,,,,,,,
12/5/2016,2200.65,2209.42,2199.97,2204.71,0.58%,0.0018%,0.0003%,0.0010%,0.40%,0.40%,-0.03%,0.18%,0.00%,,,,,,,,
