,Open,High,Low,Close,C/C(-1) - 1,log^2(H/L),log^2(C/O),GK,o,u,d,c,RS,,,,,,,,
3/20/2015,2090.32,2113.92,2090.32,2108.1,0.90%,0.0126%,0.0072%,0.0091%,0.05%,1.12%,0.00%,0.85%,0.00%,,,,,,,,
3/23/2015,2107.99,2114.86,2104.42,2104.42,-0.17%,0.0024%,0.0003%,0.0013%,-0.01%,0.33%,-0.17%,-0.17%,0.00%,,,,,,,,
3/24/2015,2103.94,2107.63,2091.5,2091.5,-0.61%,0.0059%,0.0035%,0.0043%,-0.02%,0.18%,-0.59%,-0.59%,0.00%,,,,,,,,
3/25/2015,2093.1,2097.43,2061.05,2061.05,-1.46%,0.0306%,0.0238%,0.0245%,0.08%,0.21%,-1.54%,-1.54%,0.00%,,,,,,,,
3/26/2015,2059.94,2067.15,2045.5,2056.15,-0.24%,0.0111%,0.0003%,0.0057%,-0.05%,0.35%,-0.70%,-0.18%,0.01%,,,,,,,,
3/27/2015,2055.78,2062.83,2052.96,2061.02,0.24%,0.0023%,0.0006%,0.0014%,-0.02%,0.34%,-0.14%,0.25%,0.00%,,,,,,,,
3/30/2015,2064.11,2088.97,2064.11,2086.24,1.22%,0.0143%,0.0114%,0.0116%,0.15%,1.20%,0.00%,1.07%,0.00%,,,,,,,,
3/31/2015,2084.05,2084.05,2067.04,2067.89,-0.88%,0.0067%,0.0061%,0.0057%,-0.11%,0.00%,-0.82%,-0.78%,0.00%,,,,,,,,
4/1/2015,2067.63,2067.63,2048.38,2059.69,-0.40%,0.0087%,0.0015%,0.0049%,-0.01%,0.00%,-0.94%,-0.38%,0.01%,,,,,,,,
4/2/2015,2060.03,2072.17,2057.32,2066.96,0.35%,0.0052%,0.0011%,0.0030%,0.02%,0.59%,-0.13%,0.34%,0.00%,,,,,,,,
4/6/2015,2064.87,2086.99,2056.52,2080.62,0.66%,0.0216%,0.0058%,0.0130%,-0.10%,1.07%,-0.41%,0.76%,0.01%,,,,,,,,
4/7/2015,2080.79,2089.81,2076.1,2076.33,-0.21%,0.0043%,0.0005%,0.0023%,0.01%,0.43%,-0.23%,-0.21%,0.00%,,,,,,,,
